install_date,builder,model,price,account,account_id
2020-12-30,KOIKEARONSON,2500,,Barrett Industries Inc,001Nu00000Hr6HqIAJ
2020-12-29,KOIKEARONSON,SHOPRO-5X10,,"MMJ Machining & Fabricating, Inc.",0015Y00002kC1yvQAC
2020-12-28,KOIKEARONSON,PLATEPRO,,KMK Welding LLC,001Nu00000Hr7j8IAB
2020-12-11,"Electro-Mechanical Integrators, Inc. (EMI)",TPC-2444-ELSQ,,Ebinger Iron Works Inc.,0015Y00002kBy3eQAC
2020-12-09,MESSER,EDGEMAX,,Dynamic Fab Inc,001Nu00000BmvBPIAZ
2020-12-09,FICEP,KR-25-SP,,"Kelly Iron Works, Inc.",0015Y00002kBz52QAC
2020-11-19,KOIKEARONSON,SHOPRO-5X10,,Edlund Iron Works Inc.,0015Y00002kC09XQAS
2020-11-12,Lonestar Cutting Solutions,SPITFIRE48X96,,Greene's Welding & Fabrication,0015Y00002kBzOqQAK
2020-11-05,MESSER,METALMASTREVO,,Apollo Welding & Fab Inc,001Nu00000Bmv8mIAB
2020-10-23,PREMIER,REG-48,,Backwoods Fab & Powder Coating LLC,001Nu00000Bmv9NIAR
2020-10-22,AKS,ACCU-KUT,,Lilly Industries Inc,001Nu00000BmtT5IAJ
2020-09-10,SECTOR-TECH,PHOTON-6X12,,On Time Fab Inc,001Nu00000BmpYlIAJ
2020-07-16,MESSER,EDGEMAX-8,,Metalcraft of Georgia Inc,0015Y00002kC2SKQA0
2020-05-27,BURLINGTON,PYTHON-X,,"Patriot Steel Fabrication, Inc.",0015Y00002kC4m1QAC
2020-05-13,MESSER,METALMASTREVO,,Mull Iron Ltd,001Nu00000BmvIJIAZ
2020-04-23,VOORTMAN,V-807,,JB Steel Erectors,0015Y00002kC3QwQAK
2020-03-02,PPI,PLASMAPRO4520,,Oak City Metal LLC,001Nu00000Hr8HOIAZ
2020-01-02,KOIKEARONSON,PP-XHD-3100,,MBT Prod Design & Mfg Inc,001Nu00000Hr7rEIAR
2019-12-20,PROARC,MASTER-30,,Machine & Welding of Danbury Inc,001Nu00000Hr7j6IAB
2019-12-19,KOIKEARONSON,PP-XHD-3100,,Eberl Iron Works Inc.,0015Y00002kBy1QQAS
2019-12-17,BURLINGTON,PYTHON-X,,DC Fab Inc,001Nu00000Hr6n9IAB
2019-12-04,VOORTMAN,V-807-M,,Carolina Metal Fabricators,0015Y00002kBzg1QAC
2019-11-27,MESSER,METALMASTR2.0,,"Augusta Machine & Welding , Inc.",0015Y00002kByoAQAS
2019-11-26,DYNATORCH,N/A,,Palm Beach Iron Works Inc,001Nu00000HtbkqIAB
2019-11-18,"Electro-Mechanical Integrators, Inc. (EMI)",TPC-2143-EL,,Reedbird Steel LLC,0015Y00002kC0t2QAC
2019-10-05,Kinetic Cutting Systems,K-5000-XMC,,ProFab Manufacturing,0015Y00002kC154QAC
2019-10-04,MESSER,EDGEMAX-DUALX,,JR Metal Products LLC,0015Y00002kBxibQAC
2019-10-03,KOIKEARONSON,PLATE-FAB-510,,Harbor Welding & Fab Corp,001Nu00000HtbgUIAR
2019-09-16,PROARC,MASTER-30,,Hardee Manufacturing LLC,0015Y00002kC1eKQAS
2019-09-11,"Electro-Mechanical Integrators, Inc. (EMI)",TPC-2143-EL,,"Hazleton Iron, LLC",0015Y00002kC4yGQAS
2019-08-26,PEDDINGHAUS,PEDDI-BOT1200,,"Crystal Steel Fabricators Inc - Delmar, DE",0015Y00002kC07kQAC
2019-08-23,EMI,TPC-2444,,Alessandra Misc. Metals Works Inc,0015Y00002kBxbsQAC
2019-08-15,AKS,TRU-KUT,,Bear Steel Inc,001Nu00000Hr6ISIAZ
2019-07-23,MESSER,METALMASTR2.0,,Air Flo Mfg Co,0015Y00002kBylIQAS
2019-07-16,KOIKEARONSON,PLTPROXHD3100,,"Integrated Fabrication & Machine, Inc",0015Y00002kC4NVQA0
2019-07-15,BURNY,10-LCD,,Olive Hill Welding & Fabrication Inc.,0015Y00002kC010QAC
2019-07-05,MESSER,MPC-2000,,Central Maintenance & Welding Inc,001Nu00000HtWclIAF
2019-06-19,DYNATORCH,XLE-6X12,,Andrews Fab of Kingstree Inc,001Nu00000Hr5zsIAB
2019-06-07,MESSER,EDGEMAX-8X12,,Bickers Metal Products Inc,001Nu00000Bmv9lIAB
2019-05-14,HIGHLANDS,5X10,,Fusion Fab & Welding LLC,001Nu00000Hr7IWIAZ
